TF	Variance explained	Nr of genes
Uhrf1	0.47859148041660304	14
Usf1	0.43019894857400676	6613
Usf2	0.42944553297979826	14363
Usp16	0.4918338195925987	2234
Usp7	0.39752339911619755	88
Utf1	0.4494795368963739	16117
Vdr	0.4263081943426836	14967
Vsx2	0.4378410857115157	3633
Wapl	0.4291868803254996	3464
Was	0.38071318564337214	26
Wdr11	0.46554754317515235	7001
Wdr5	0.437785784099868	11447
Wdr61	0.4363931463078233	1109
Wiz	0.4610225743533812	13976
Wt1	0.45949588278215436	7130
Xbp1	0.42262063996426835	10467
Yap1	0.4494451529474339	8434
Yeats4	0.43535580021305476	441
Yy1	0.4568428848477537	13227
Yy2	0.4668870864154059	20
Zbtb16	0.44926317329561627	6323
Zbtb17	0.4337500747219532	5040
Zbtb2	0.4784662831456892	7154
Zbtb24	0.4175750213255657	126
Zc3h10	0.4838782781642714	3809
Zc3h11a	0.430298950637126	9075
Zeb1	0.4556369221656616	4556
Zfp143	0.4522342052255959	6165
Zfp217	0.4554922083127532	10404
Zfp281	0.4495877112262508	15796
Zfp322a	0.5031463971159783	218
Zfp335	0.44531125448279085	328
Zfp384	0.4454161438009962	16790
Zfp42	0.4584492606829797	10581
Zfp57	0.4481822999979469	15117
Zfp64	0.42086263316547257	391
Zfp708	0.469593173860918	61
Zfpm1	0.45208407845376086	6631
Zic1	0.4353705486032495	2083
Zic2	0.4482443990667596	15552
Zic3	0.4521566916662775	4240
Zkscan1	0.42547659015078326	5528
Zmiz1	0.4338567094571226	11167
Zmynd8	0.4567069997410998	3245
Zscan5b	0.3591859069240877	39
